"site_name","plot","Longitude","Latitude","date"
"CASWR","0003",-122.184857,39.426635,"2026-07-01T03:28:07.000000Z"
"CATCU","0003",-120.219607403845,38.2570459395641,"2026-07-01T11:16:07.000000Z"
"WALPR","0003",-117.694163971972,48.4800090121109,"2026-04-16T14:01:27.000000Z"
"CORMP","0003",-105.574294,40.367442,"2026-07-01T05:12:05.000000Z"
"NVWAX","0003",-119.951328697771,39.2800094102287,"2026-07-01T11:17:06.000000Z"
"CAYNP","0003",-119.78152846263,37.7196037725564,"2026-07-01T03:21:06.000000Z"
"GACHF","0003",-83.6787446,33.0585481,"2026-07-01T11:13:05.000000Z"
"GAPDR","0003",-83.6797757399999,33.00337634,"2026-07-01T07:52:05.000000Z"
"AZCOP","0003",-110.24577872,31.3457906,"2026-07-09T01:16:05.000000Z"
"SCPKR","0003",-80.7646353332336,32.2329693336076,"2026-07-01T11:30:05.000000Z"
"SCCRR","0003",-80.2566479116507,34.61491985394,"2026-07-01T11:17:06.000000Z"
"CAAEU","0003",-120.100662024843,38.9972487956177,"2026-07-01T05:41:05.000000Z"
"FLLSR","0003",-83.1252999996577,29.3460999999259,"2026-06-30T15:40:05.000000Z"
"PA04S","0003",-79.44126256,39.82618088,"2026-07-01T11:32:07.000000Z"
"WAWLR","0003",-123.980641496778,46.3657269479908,"2026-04-16T14:01:28.000000Z"
"GAHSR","0003",-81.2744909999776,31.6442069999863,"2026-07-01T05:20:06.000000Z"
"GAUGA","0003",-83.3616428559066,33.887158561221,"2026-07-01T03:20:07.000000Z"
"CASDU","0003",-116.853798,33.264803,"2026-07-01T11:17:06.000000Z"
"CASBC","0003",-120.053578267467,34.6940459812517,"2026-07-01T11:15:06.000000Z"
"WASES","0003",-120.7883558,47.27736131,"2026-04-16T14:01:44.000000Z"
"ORWMR","0003",-123.330813143906,44.4264352087291,"2026-07-01T11:17:06.000000Z"
"LABSR","0003",-89.9236707998386,30.0618069949505,"2026-07-01T11:08:06.000000Z"
"AZSAP","0003",-110.549684254786,32.0367238137518,"2026-07-10T05:18:05.000000Z"
"ORBKR","0003",-123.254492395047,44.9672426004383,"2026-07-01T11:17:06.000000Z"
"LABCR","0003",-89.7878860159496,30.6699799932454,"2026-07-01T11:08:06.000000Z"
"CODSP","0003",-109.035693444073,40.4682177091369,"2026-07-01T11:13:05.000000Z"
"UTDSP","0003",-109.05918,40.5047,"2026-04-16T14:02:28.000000Z"
"AKWSP","0003",-143.592020823058,61.3789774536712,"2026-07-01T03:25:06.000000Z"
"NJPIP","0003",-74.600328,39.918877,"2026-07-01T05:41:05.000000Z"
"LABBR","0003",-90.0070244698373,30.3273027988591,"2026-07-01T11:08:05.000000Z"
"GAOKR","0003",-82.2659547356945,31.0633893091375,"2026-07-01T05:21:05.000000Z"
"MDBWR","0003",-76.1214601433662,38.4828884041236,"2026-07-01T05:21:06.000000Z"
"AZA3S","0003",-110.279525330355,31.4538542470944,"2026-07-01T05:21:05.000000Z"
"WAOWF","0003",-120.6869576,47.4027302,"2026-04-16T14:01:47.000000Z"
"MIHIF","0003",-84.914362,46.3130790000001,"2026-07-01T05:27:06.000000Z"
"TXBAR","0003",-98.0801827105441,30.6168232855048,"2026-04-16T14:01:39.000000Z"
"VAJRR","0003",-77.1189399998471,37.2669899997579,"2026-04-16T14:02:01.000000Z"
"SCSRF","0004",-81.5075440000868,33.1916889998507,"2026-07-01T11:32:06.000000Z"
"ALWLR","0004",-86.7725842443727,34.5751602654663,"2026-07-01T03:18:07.000000Z"
"CORMP","0004",-105.578017,40.367423,"2026-07-01T03:48:06.000000Z"
"GAHSR","0004",-81.277585666487,31.6384566667718,"2026-07-01T05:20:06.000000Z"
"GACHF","0004",-83.6780102,33.0582644,"2026-07-01T11:13:05.000000Z"
"WALPR","0004",-117.695170067124,48.4765126810111,"2026-04-16T14:02:16.000000Z"
"AZCOP","0004",-110.24297665,31.34286412,"2026-07-09T05:15:05.000000Z"
"CATCU","0004",-120.218783279775,38.2567831254252,"2026-07-01T11:16:06.000000Z"
"FLLSR","0004",-83.0098000004358,29.4066999999911,"2026-06-30T15:40:05.000000Z"
"AZA3S","0004",-110.284071333003,31.4536477389607,"2026-07-01T05:21:06.000000Z"
"TXBAR","0004",-98.080490084327,30.6165681143727,"2026-04-16T14:01:39.000000Z"
"AKWSP","0004",-143.593625842977,61.3796784135862,"2026-07-01T03:25:06.000000Z"
"UTDSP","0004",-109.05801,40.50513,"2026-04-16T14:02:28.000000Z"
"WAOWF","0004",-120.7620411,47.34975155,"2026-04-16T14:01:45.000000Z"
"GAPDR","0004",-83.6720387,33.00406525,"2026-07-01T07:52:05.000000Z"
